"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","year_filed","scdb_id","stingsAsFactors"
"justice black","dissenting",TRUE,"Sigler v. Parker",1970-02-02,"396 U.S. 482",1970,"1969-035",FALSE
"justice douglas","second_dissenting",TRUE,"Sigler v. Parker",1970-02-02,"396 U.S. 482",1970,"1969-035",FALSE
"justice white","concurring",TRUE,"Maggio v. Fulford",1983-06-06,"462 U.S. 111",1983,"1982-116",FALSE
"justice brennan","dissenting",TRUE,"Maggio v. Fulford",1983-06-06,"462 U.S. 111",1983,"1982-116",FALSE
"justice marshall","second_dissenting",TRUE,"Maggio v. Fulford",1983-06-06,"462 U.S. 111",1983,"1982-116",FALSE
"justice blackmun","majority",FALSE,"United States v. Generes",1972-03-27,"405 U.S. 93",1972,"1971-057",FALSE
"justice marshall","concurring",FALSE,"United States v. Generes",1972-03-27,"405 U.S. 93",1972,"1971-057",FALSE
"justice douglas","dissenting",FALSE,"United States v. Generes",1972-03-27,"405 U.S. 93",1972,"1971-057",FALSE
"justice thomas","majority",FALSE,"Exxon Co., USA v. Sofec, Inc.",1996-06-10,"517 U.S. 830",1996,"1995-064",FALSE
"justice souter","dissenting",FALSE,"Exxon Co., USA v. Sofec, Inc.",1996-06-10,"517 U.S. 830",1996,"1995-064",FALSE
"justice white","majority",FALSE,"Santa Fe Industries, Inc. v. Green",1977-03-23,"430 U.S. 462",1977,"1976-076",FALSE
"justice breyer","majority",FALSE,"Chickasaw Nation v. United States",2001-11-27,"534 U.S. 84",2001,"2001-005",FALSE
"justice o'connor","dissenting",FALSE,"Chickasaw Nation v. United States",2001-11-27,"534 U.S. 84",2001,"2001-005",FALSE
"justice rehnquist","majority",FALSE,"Burch v. Louisiana",1979-04-17,"441 U.S. 130",1979,"1978-074",FALSE
"justice stevens","concurring",FALSE,"Burch v. Louisiana",1979-04-17,"441 U.S. 130",1979,"1978-074",FALSE
"justice alito","majority",FALSE,"Pearson v. Callahan",2009-01-21,"555 U.S. 223",2009,"2008-013",FALSE
"justice o'connor","majority",FALSE,"Michigan v. Lucas",1991-05-20,"500 U.S. 145",1991,"1990-074",FALSE
"justice blackmun","concurring",FALSE,"Michigan v. Lucas",1991-05-20,"500 U.S. 145",1991,"1990-074",FALSE
"justice stevens","dissenting",FALSE,"Michigan v. Lucas",1991-05-20,"500 U.S. 145",1991,"1990-074",FALSE
"justice powell","dissenting",TRUE,"Plummer v. Columbus",1973-10-15,"414 U.S. 2",1973,"1973-002",FALSE
"justice blackmun","majority",FALSE,"Mills v. Maryland",1988-06-06,"486 U.S. 367",1988,"1987-100",FALSE
"justice brennan","concurring",FALSE,"Mills v. Maryland",1988-06-06,"486 U.S. 367",1988,"1987-100",FALSE
"justice rehnquist","dissenting",FALSE,"Mills v. Maryland",1988-06-06,"486 U.S. 367",1988,"1987-100",FALSE
"justice stewart","majority",FALSE,"Pfizer Inc. v. Government of India",1978-02-27,"434 U.S. 308",1978,"1977-024",FALSE
